# wavenumber (k), Specular Transmittance [-]
 10.12442000,  0.95642000
 10.36548000,  0.97773000
 10.60654000,  0.98562000
 10.84760000,  0.97962000
 11.08866000,  0.96589000
 11.32971000,  0.94881000
 11.57077000,  0.93333000
 11.81183000,  0.92712000
 12.05289000,  0.92646000
 12.29394000,  0.93168000
 12.53500000,  0.93823000
 12.77606000,  0.94104000
 13.01712000,  0.94191000
 13.25817000,  0.94036000
 13.49923000,  0.93814000
 13.74029000,  0.93721000
 13.98135000,  0.93644000
 14.22241000,  0.93538000
 14.46346000,  0.93392000
 14.70452000,  0.93178000
 14.94558000,  0.92903000
 15.18664000,  0.92562000
 15.42769000,  0.92171000
 15.66875000,  0.91732000
 15.90981000,  0.91279000
 16.15087000,  0.90855000
 16.39192000,  0.90437000
 16.63298000,  0.90033000
 16.87404000,  0.89601000
 17.11510000,  0.89092000
 17.35616000,  0.88529000
 17.59721000,  0.87898000
 17.83827000,  0.87256000
 18.07933000,  0.86641000
 18.32039000,  0.86095000
 18.56144000,  0.85685000
 18.80250000,  0.85378000
 19.04356000,  0.85183000
 19.28462000,  0.85037000
 19.52568000,  0.84894000
 19.76673000,  0.84713000
 20.00779000,  0.84439000
 20.24885000,  0.84072000
 20.48991000,  0.83559000
 20.73096000,  0.83000000
 20.97202000,  0.82464000
 21.21308000,  0.81993000
 21.45414000,  0.81662000
 21.69519000,  0.81439000
 21.93625000,  0.81337000
 22.17731000,  0.81295000
 22.41837000,  0.81285000
 22.65943000,  0.81226000
 22.90048000,  0.81049000
 23.14154000,  0.80695000
 23.38260000,  0.80120000
 23.62366000,  0.79209000
 23.86471000,  0.77617000
 24.10577000,  0.75993000
 24.34683000,  0.74957000
 24.58789000,  0.74250000
 24.82894000,  0.74033000
 25.07000000,  0.73668000
 25.31106000,  0.72267000
 25.55212000,  0.70743000
 25.79318000,  0.69808000
 26.03423000,  0.69177000
 26.27529000,  0.68862000
 26.51635000,  0.68686000
 26.75741000,  0.68471000
 26.99846000,  0.68232000
 27.23952000,  0.67918000
 27.48058000,  0.67548000
 27.72164000,  0.67115000
 27.96270000,  0.66641000
 28.20375000,  0.66143000
 28.44481000,  0.65627000
 28.68587000,  0.65106000
 28.92693000,  0.64583000
 29.16798000,  0.64067000
 29.40904000,  0.63559000
 29.65010000,  0.63063000
 29.89116000,  0.62571000
 30.13221000,  0.62079000
 30.37327000,  0.61583000
 30.61433000,  0.61078000
 30.85539000,  0.60573000
 31.09645000,  0.60079000
 31.33750000,  0.59593000
 31.57856000,  0.59123000
 31.81962000,  0.58658000
 32.06068000,  0.58192000
 32.30173000,  0.57719000
 32.54279000,  0.57231000
 32.78385000,  0.56731000
 33.02491000,  0.56213000
 33.26597000,  0.55687000
 33.50702000,  0.55164000
 33.74808000,  0.54642000
 33.98914000,  0.54122000
 34.23020000,  0.53604000
 34.47125000,  0.53083000
 34.71231000,  0.52572000
 34.95337000,  0.52083000
 35.19443000,  0.51616000
 35.43548000,  0.51178000
 35.67654000,  0.50757000
 35.91760000,  0.50344000
 36.15866000,  0.49937000
 36.39972000,  0.49536000
 36.64077000,  0.49132000
 36.88183000,  0.48721000
 37.12289000,  0.48289000
 37.36395000,  0.47816000
 37.60500000,  0.47316000
