# wavenumber (k), Specular Transmittance [-]
  9.88337000,  0.97245000
 10.12442000,  0.97879000
 10.36548000,  0.97513000
 10.60654000,  0.97000000
 10.84760000,  0.97306000
 11.08866000,  0.97820000
 11.32971000,  0.98310000
 11.57077000,  0.98603000
 11.81183000,  0.98314000
 12.05289000,  0.97854000
 12.29394000,  0.97423000
 12.53500000,  0.97259000
 12.77606000,  0.97781000
 13.01712000,  0.98639000
 13.25817000,  0.99776000
 13.49923000,  1.00730000
 13.74029000,  1.00948000
 13.98135000,  1.00650000
 14.22241000,  0.99755000
 14.46346000,  0.98622000
 14.70452000,  0.97547000
 14.94558000,  0.96648000
 15.18664000,  0.96174000
 15.42769000,  0.96026000
 15.66875000,  0.96264000
 15.90981000,  0.96657000
 16.15087000,  0.97005000
 16.39192000,  0.97274000
 16.63298000,  0.97331000
 16.87404000,  0.97271000
 17.11510000,  0.97140000
 17.35616000,  0.96954000
 17.59721000,  0.96740000
 17.83827000,  0.96520000
 18.07933000,  0.96324000
 18.32039000,  0.96161000
 18.56144000,  0.96055000
 18.80250000,  0.95988000
 19.04356000,  0.95961000
 19.28462000,  0.95942000
 19.52568000,  0.95911000
 19.76673000,  0.95830000
 20.00779000,  0.95612000
 20.24885000,  0.95384000
 20.48991000,  0.95236000
 20.73096000,  0.95188000
 20.97202000,  0.95378000
 21.21308000,  0.95536000
 21.45414000,  0.95403000
 21.69519000,  0.95080000
 21.93625000,  0.94494000
 22.17731000,  0.93909000
 22.41837000,  0.93583000
 22.65943000,  0.94147000
 22.90048000,  0.94725000
 23.14154000,  0.94541000
 23.38260000,  0.94271000
 23.62366000,  0.93939000
 23.86471000,  0.93545000
 24.10577000,  0.93162000
 24.34683000,  0.92872000
 24.58789000,  0.92652000
 24.82894000,  0.92517000
 25.07000000,  0.92443000
 25.31106000,  0.92416000
 25.55212000,  0.92422000
 25.79318000,  0.92457000
 26.03423000,  0.92474000
 26.27529000,  0.92422000
 26.51635000,  0.92312000
 26.75741000,  0.92121000
 26.99846000,  0.91903000
 27.23952000,  0.91703000
 27.48058000,  0.91529000
 27.72164000,  0.91414000
 27.96270000,  0.91319000
 28.20375000,  0.91218000
 28.44481000,  0.91106000
 28.68587000,  0.90957000
 28.92693000,  0.90797000
 29.16798000,  0.90645000
 29.40904000,  0.90495000
 29.65010000,  0.90352000
 29.89116000,  0.90202000
 30.13221000,  0.90025000
 30.37327000,  0.89835000
 30.61433000,  0.89632000
 30.85539000,  0.89443000
 31.09645000,  0.89298000
 31.33750000,  0.89184000
 31.57856000,  0.89108000
 31.81962000,  0.89043000
 32.06068000,  0.88966000
 32.30173000,  0.88877000
 32.54279000,  0.88763000
 32.78385000,  0.88633000
 33.02491000,  0.88489000
 33.26597000,  0.88340000
 33.50702000,  0.88199000
 33.74808000,  0.88060000
 33.98914000,  0.87925000
 34.23020000,  0.87783000
 34.47125000,  0.87619000
 34.71231000,  0.87447000
 34.95337000,  0.87268000
 35.19443000,  0.87094000
 35.43548000,  0.86939000
 35.67654000,  0.86798000
 35.91760000,  0.86674000
 36.15866000,  0.86556000
 36.39972000,  0.86437000
 36.64077000,  0.86312000
 36.88183000,  0.86175000
 37.12289000,  0.86032000
 37.36395000,  0.85884000
 37.60500000,  0.85739000
 37.84606000,  0.85610000
 38.08712000,  0.85485000
 38.32818000,  0.85359000
