# wavenumber (k), Specular Transmittance [-]
  9.88337000,  0.96401000
 10.12442000,  0.95687000
 10.36548000,  0.94853000
 10.60654000,  0.94161000
 10.84760000,  0.93788000
 11.08866000,  0.93911000
 11.32971000,  0.94990000
 11.57077000,  0.96358000
 11.81183000,  0.97498000
 12.05289000,  0.98424000
 12.29394000,  0.98910000
 12.53500000,  0.99160000
 12.77606000,  0.99301000
 13.01712000,  0.99337000
 13.25817000,  0.99340000
 13.49923000,  0.99230000
 13.74029000,  0.98927000
 13.98135000,  0.98492000
 14.22241000,  0.97914000
 14.46346000,  0.97322000
 14.70452000,  0.96877000
 14.94558000,  0.96468000
 15.18664000,  0.96053000
 15.42769000,  0.95589000
 15.66875000,  0.94936000
 15.90981000,  0.94344000
 16.15087000,  0.94010000
 16.39192000,  0.93940000
 16.63298000,  0.94286000
 16.87404000,  0.94800000
 17.11510000,  0.95308000
 17.35616000,  0.95746000
 17.59721000,  0.95966000
 17.83827000,  0.96048000
 18.07933000,  0.95993000
 18.32039000,  0.95888000
 18.56144000,  0.95807000
 18.80250000,  0.95793000
 19.04356000,  0.95918000
 19.28462000,  0.96173000
 19.52568000,  0.96587000
 19.76673000,  0.97123000
 20.00779000,  0.97793000
 20.24885000,  0.98484000
 20.48991000,  0.99102000
 20.73096000,  0.99602000
 20.97202000,  0.99870000
 21.21308000,  1.00028000
 21.45414000,  1.00163000
 21.69519000,  1.00275000
 21.93625000,  1.00416000
 22.17731000,  1.00520000
 22.41837000,  1.00591000
 22.65943000,  1.00222000
 22.90048000,  0.99883000
 23.14154000,  0.99729000
 23.38260000,  0.99486000
 23.62366000,  0.99197000
 23.86471000,  0.98886000
 24.10577000,  0.98590000
 24.34683000,  0.98370000
 24.58789000,  0.98176000
 24.82894000,  0.97993000
 25.07000000,  0.97781000
 25.31106000,  0.97483000
 25.55212000,  0.97135000
 25.79318000,  0.96738000
 26.03423000,  0.96352000
 26.27529000,  0.96051000
 26.51635000,  0.95803000
 26.75741000,  0.95610000
 26.99846000,  0.95451000
 27.23952000,  0.95300000
 27.48058000,  0.95170000
 27.72164000,  0.95060000
 27.96270000,  0.94983000
 28.20375000,  0.94957000
 28.44481000,  0.94974000
 28.68587000,  0.95034000
 28.92693000,  0.95131000
 29.16798000,  0.95256000
 29.40904000,  0.95416000
 29.65010000,  0.95618000
 29.89116000,  0.95849000
 30.13221000,  0.96099000
 30.37327000,  0.96371000
 30.61433000,  0.96662000
 30.85539000,  0.96976000
 31.09645000,  0.97330000
 31.33750000,  0.97686000
 31.57856000,  0.98016000
 31.81962000,  0.98304000
 32.06068000,  0.98522000
 32.30173000,  0.98689000
 32.54279000,  0.98813000
 32.78385000,  0.98896000
 33.02491000,  0.98941000
 33.26597000,  0.98946000
 33.50702000,  0.98901000
 33.74808000,  0.98824000
 33.98914000,  0.98724000
 34.23020000,  0.98607000
 34.47125000,  0.98486000
 34.71231000,  0.98350000
 34.95337000,  0.98192000
 35.19443000,  0.98004000
 35.43548000,  0.97769000
 35.67654000,  0.97504000
 35.91760000,  0.97220000
 36.15866000,  0.96925000
 36.39972000,  0.96634000
 36.64077000,  0.96344000
 36.88183000,  0.96049000
 37.12289000,  0.95766000
 37.36395000,  0.95507000
 37.60500000,  0.95283000
 37.84606000,  0.95117000
 38.08712000,  0.94985000
 38.32818000,  0.94876000
 38.56923000,  0.94777000
 38.81029000,  0.94656000
 39.05135000,  0.94548000
 39.29241000,  0.94466000
 39.53347000,  0.94435000
 39.77452000,  0.94492000
 40.01558000,  0.94615000
 40.25664000,  0.94807000
 40.49770000,  0.95036000
 40.73875000,  0.95268000
 40.97981000,  0.95501000
 41.22087000,  0.95718000
 41.46193000,  0.95934000
 41.70299000,  0.96159000
 41.94404000,  0.96392000
 42.18510000,  0.96641000
 42.42616000,  0.96896000
 42.66722000,  0.97152000
 42.90827000,  0.97400000
 43.14933000,  0.97633000
 43.39039000,  0.97840000
 43.63145000,  0.98010000
