# wavenumber (k), Specular Transmittance [-]
 15.18664000,  0.99430000
 15.42769000,  0.99221000
 15.66875000,  0.98992000
 15.90981000,  0.98710000
 16.15087000,  0.98272000
 16.39192000,  0.97890000
 16.63298000,  0.97770000
 16.87404000,  0.97829000
 17.11510000,  0.98103000
 17.35616000,  0.98438000
 17.59721000,  0.98703000
 17.83827000,  0.98867000
 18.07933000,  0.98822000
 18.32039000,  0.98672000
 18.56144000,  0.98453000
 18.80250000,  0.98266000
 19.04356000,  0.98254000
 19.28462000,  0.98323000
 19.52568000,  0.98446000
 19.76673000,  0.98570000
 20.00779000,  0.98541000
 20.24885000,  0.98382000
 20.48991000,  0.98100000
 20.73096000,  0.97752000
 20.97202000,  0.97379000
 21.21308000,  0.97043000
 21.45414000,  0.96752000
 21.69519000,  0.96477000
 21.93625000,  0.96175000
 22.17731000,  0.95867000
 22.41837000,  0.95598000
 22.65943000,  0.95442000
 22.90048000,  0.95484000
 23.14154000,  0.95668000
 23.38260000,  0.95746000
 23.62366000,  0.95798000
 23.86471000,  0.95751000
 24.10577000,  0.95640000
 24.34683000,  0.95463000
 24.58789000,  0.95264000
 24.82894000,  0.95094000
 25.07000000,  0.94940000
 25.31106000,  0.94814000
 25.55212000,  0.94699000
 25.79318000,  0.94579000
 26.03423000,  0.94459000
 26.27529000,  0.94338000
 26.51635000,  0.94218000
 26.75741000,  0.94100000
 26.99846000,  0.93975000
 27.23952000,  0.93832000
 27.48058000,  0.93674000
 27.72164000,  0.93496000
 27.96270000,  0.93321000
 28.20375000,  0.93171000
 28.44481000,  0.93037000
 28.68587000,  0.92929000
 28.92693000,  0.92815000
 29.16798000,  0.92660000
 29.40904000,  0.92481000
 29.65010000,  0.92272000
 29.89116000,  0.92063000
 30.13221000,  0.91883000
 30.37327000,  0.91718000
 30.61433000,  0.91571000
 30.85539000,  0.91429000
 31.09645000,  0.91279000
 31.33750000,  0.91128000
 31.57856000,  0.90974000
 31.81962000,  0.90816000
 32.06068000,  0.90651000
 32.30173000,  0.90482000
 32.54279000,  0.90311000
 32.78385000,  0.90136000
 33.02491000,  0.89956000
 33.26597000,  0.89774000
 33.50702000,  0.89586000
 33.74808000,  0.89397000
 33.98914000,  0.89208000
 34.23020000,  0.89014000
 34.47125000,  0.88808000
 34.71231000,  0.88592000
 34.95337000,  0.88356000
 35.19443000,  0.88121000
 35.43548000,  0.87907000
 35.67654000,  0.87714000
 35.91760000,  0.87559000
 36.15866000,  0.87406000
 36.39972000,  0.87221000
 36.64077000,  0.87006000
 36.88183000,  0.86739000
 37.12289000,  0.86452000
 37.36395000,  0.86169000
 37.60500000,  0.85897000
 37.84606000,  0.85657000
 38.08712000,  0.85425000
 38.32818000,  0.85183000
 38.56923000,  0.84929000
 38.81029000,  0.84647000
 39.05135000,  0.84360000
 39.29241000,  0.84090000
 39.53347000,  0.83835000
 39.77452000,  0.83603000
 40.01558000,  0.83378000
 40.25664000,  0.83142000
 40.49770000,  0.82901000
 40.73875000,  0.82653000
 40.97981000,  0.82402000
 41.22087000,  0.82154000
 41.46193000,  0.81900000
 41.70299000,  0.81635000
 41.94404000,  0.81366000
 42.18510000,  0.81099000
 42.42616000,  0.80834000
 42.66722000,  0.80576000
 42.90827000,  0.80315000
 43.14933000,  0.80039000
 43.39039000,  0.79755000
 43.63145000,  0.79460000
 43.87250000,  0.79163000
 44.11356000,  0.78870000
 44.35462000,  0.78579000
 44.59568000,  0.78294000
 44.83674000,  0.78009000
 45.07779000,  0.77719000
 45.31885000,  0.77426000
 45.55991000,  0.77128000
 45.80097000,  0.76830000
 46.04202000,  0.76539000
 46.28308000,  0.76251000
 46.52414000,  0.75964000
 46.76520000,  0.75671000
 47.00625000,  0.75361000
 47.24731000,  0.75043000
 47.48837000,  0.74718000
 47.72943000,  0.74392000
 47.97049000,  0.74076000
 48.21154000,  0.73760000
 48.45260000,  0.73436000
 48.69366000,  0.73107000
 48.93472000,  0.72768000
 49.17577000,  0.72429000
 49.41683000,  0.72101000
 49.65789000,  0.71780000
 49.89895000,  0.71467000
 50.14001000,  0.71156000
 50.38106000,  0.70838000
 50.62212000,  0.70517000
 50.86318000,  0.70195000
 51.10424000,  0.69875000
 51.34529000,  0.69562000
 51.58635000,  0.69247000
 51.82741000,  0.68921000
 52.06847000,  0.68586000
 52.30952000,  0.68235000
 52.55058000,  0.67878000
 52.79164000,  0.67527000
 53.03270000,  0.67177000
 53.27376000,  0.66830000
 53.51481000,  0.66484000
 53.75587000,  0.66133000
 53.99693000,  0.65789000
 54.23799000,  0.65458000
 54.47904000,  0.65143000
 54.72010000,  0.64855000
 54.96116000,  0.64574000
 55.20222000,  0.64290000
 55.44328000,  0.63991000
 55.68433000,  0.63652000
 55.92539000,  0.63296000
 56.16645000,  0.62928000
 56.40751000,  0.62566000
 56.64856000,  0.62230000
 56.88962000,  0.61909000
 57.13068000,  0.61599000
 57.37174000,  0.61292000
 57.61279000,  0.60974000
 57.85385000,  0.60651000
 58.09491000,  0.60323000
 58.33597000,  0.59994000
 58.57703000,  0.59664000
 58.81808000,  0.59333000
 59.05914000,  0.59003000
 59.30020000,  0.58674000
 59.54126000,  0.58345000
 59.78231000,  0.58015000
 60.02337000,  0.57679000
 60.26443000,  0.57342000
 60.50549000,  0.57005000
 60.74654000,  0.56673000
 60.98760000,  0.56352000
 61.22866000,  0.56041000
 61.46972000,  0.55747000
 61.71078000,  0.55463000
 61.95183000,  0.55188000
 62.19289000,  0.54912000
 62.43395000,  0.54623000
 62.67501000,  0.54324000
 62.91606000,  0.54012000
 63.15712000,  0.53696000
 63.39818000,  0.53386000
 63.63924000,  0.53077000
 63.88030000,  0.52770000
 64.12135000,  0.52461000
 64.36241000,  0.52146000
 64.60347000,  0.51829000
 64.84453000,  0.51512000
 65.08558000,  0.51196000
 65.32664000,  0.50884000
 65.56770000,  0.50577000
 65.80876000,  0.50278000
 66.04981000,  0.49986000
 66.29087000,  0.49703000
 66.53193000,  0.49424000
 66.77299000,  0.49148000
 67.01405000,  0.48868000
 67.25510000,  0.48581000
 67.49616000,  0.48284000
 67.73722000,  0.47975000
 67.97828000,  0.47658000
 68.21933000,  0.47333000
 68.46039000,  0.47005000
 68.70145000,  0.46678000
 68.94251000,  0.46355000
 69.18357000,  0.46040000
 69.42462000,  0.45731000
 69.66568000,  0.45432000
 69.90674000,  0.45137000
 70.14780000,  0.44840000
 70.38885000,  0.44542000
 70.62991000,  0.44237000
 70.87097000,  0.43931000
 71.11203000,  0.43629000
 71.35308000,  0.43332000
 71.59414000,  0.43045000
 71.83520000,  0.42764000
 72.07626000,  0.42482000
 72.31732000,  0.42203000
 72.55837000,  0.41924000
 72.79943000,  0.41652000
 73.04049000,  0.41394000
 73.28155000,  0.41144000
 73.52260000,  0.40902000
 73.76366000,  0.40662000
 74.00472000,  0.40417000
 74.24578000,  0.40168000
 74.48683000,  0.39915000
 74.72789000,  0.39661000
 74.96895000,  0.39409000
 75.21001000,  0.39157000
 75.45107000,  0.38902000
 75.69212000,  0.38644000
 75.93318000,  0.38380000
 76.17424000,  0.38117000
 76.41530000,  0.37860000
 76.65635000,  0.37608000
 76.89741000,  0.37363000
 77.13847000,  0.37120000
 77.37953000,  0.36872000
 77.62059000,  0.36618000
 77.86164000,  0.36354000
 78.10270000,  0.36085000
 78.34376000,  0.35811000
 78.58482000,  0.35537000
 78.82587000,  0.35266000
 79.06693000,  0.34998000
 79.30799000,  0.34732000
 79.54905000,  0.34467000
 79.79010000,  0.34198000
 80.03116000,  0.33926000
 80.27222000,  0.33652000
 80.51328000,  0.33378000
 80.75434000,  0.33106000
 80.99539000,  0.32839000
 81.23645000,  0.32581000
 81.47751000,  0.32331000
