# wavenumber (k), Specular Transmittance [-]
 15.18664000,  1.00014000
 15.42769000,  0.99984000
 15.66875000,  0.99946000
 15.90981000,  0.99945000
 16.15087000,  1.00052000
 16.39192000,  1.00169000
 16.63298000,  1.00218000
 16.87404000,  1.00109000
 17.11510000,  0.99930000
 17.35616000,  0.99720000
 17.59721000,  0.99513000
 17.83827000,  0.99298000
 18.07933000,  0.99090000
 18.32039000,  0.98901000
 18.56144000,  0.98684000
 18.80250000,  0.98519000
 19.04356000,  0.98442000
 19.28462000,  0.98428000
 19.52568000,  0.98521000
 19.76673000,  0.98652000
 20.00779000,  0.98810000
 20.24885000,  0.98964000
 20.48991000,  0.99031000
 20.73096000,  0.99041000
 20.97202000,  0.98935000
 21.21308000,  0.98751000
 21.45414000,  0.98553000
 21.69519000,  0.98320000
 21.93625000,  0.98110000
 22.17731000,  0.97934000
 22.41837000,  0.97826000
 22.65943000,  0.97777000
 22.90048000,  0.97757000
 23.14154000,  0.97754000
 23.38260000,  0.97701000
 23.62366000,  0.97617000
 23.86471000,  0.97508000
 24.10577000,  0.97376000
 24.34683000,  0.97226000
 24.58789000,  0.97045000
 24.82894000,  0.96812000
 25.07000000,  0.96549000
 25.31106000,  0.96255000
 25.55212000,  0.95985000
 25.79318000,  0.95803000
 26.03423000,  0.95678000
 26.27529000,  0.95617000
 26.51635000,  0.95567000
 26.75741000,  0.95475000
 26.99846000,  0.95351000
 27.23952000,  0.95174000
 27.48058000,  0.94984000
 27.72164000,  0.94806000
 27.96270000,  0.94663000
 28.20375000,  0.94603000
 28.44481000,  0.94584000
 28.68587000,  0.94593000
 28.92693000,  0.94592000
 29.16798000,  0.94539000
 29.40904000,  0.94443000
 29.65010000,  0.94294000
 29.89116000,  0.94112000
 30.13221000,  0.93906000
 30.37327000,  0.93694000
 30.61433000,  0.93498000
 30.85539000,  0.93317000
 31.09645000,  0.93162000
 31.33750000,  0.93015000
 31.57856000,  0.92864000
 31.81962000,  0.92704000
 32.06068000,  0.92526000
 32.30173000,  0.92331000
 32.54279000,  0.92112000
 32.78385000,  0.91883000
 33.02491000,  0.91649000
 33.26597000,  0.91428000
 33.50702000,  0.91244000
 33.74808000,  0.91086000
 33.98914000,  0.90953000
 34.23020000,  0.90834000
 34.47125000,  0.90716000
 34.71231000,  0.90600000
 34.95337000,  0.90482000
 35.19443000,  0.90360000
 35.43548000,  0.90228000
 35.67654000,  0.90087000
 35.91760000,  0.89932000
 36.15866000,  0.89769000
 36.39972000,  0.89607000
 36.64077000,  0.89437000
 36.88183000,  0.89258000
 37.12289000,  0.89067000
 37.36395000,  0.88854000
