# wavenumber (k), Specular Transmittance [-]
 10.36548000,  0.97923000
 10.60654000,  0.98193000
 10.84760000,  0.97811000
 11.08866000,  0.97437000
 11.32971000,  0.97886000
 11.57077000,  0.98473000
 11.81183000,  0.98781000
 12.05289000,  0.98821000
 12.29394000,  0.98373000
 12.53500000,  0.97714000
 12.77606000,  0.96989000
 13.01712000,  0.96378000
 13.25817000,  0.96171000
 13.49923000,  0.96188000
 13.74029000,  0.96433000
 13.98135000,  0.96644000
 14.22241000,  0.96513000
 14.46346000,  0.96184000
 14.70452000,  0.95649000
 14.94558000,  0.95052000
 15.18664000,  0.94521000
 15.42769000,  0.94092000
 15.66875000,  0.93874000
 15.90981000,  0.93773000
 16.15087000,  0.93734000
 16.39192000,  0.93749000
 16.63298000,  0.93781000
 16.87404000,  0.93868000
 17.11510000,  0.94078000
 17.35616000,  0.94287000
 17.59721000,  0.94416000
 17.83827000,  0.94400000
 18.07933000,  0.94101000
 18.32039000,  0.93665000
 18.56144000,  0.93155000
 18.80250000,  0.92687000
 19.04356000,  0.92425000
 19.28462000,  0.92293000
 19.52568000,  0.92286000
 19.76673000,  0.92363000
 20.00779000,  0.92549000
 20.24885000,  0.92667000
 20.48991000,  0.92647000
 20.73096000,  0.92393000
 20.97202000,  0.91837000
 21.21308000,  0.91179000
 21.45414000,  0.90554000
 21.69519000,  0.90120000
 21.93625000,  0.89970000
 22.17731000,  0.89964000
 22.41837000,  0.89958000
 22.65943000,  0.89839000
 22.90048000,  0.89515000
 23.14154000,  0.89092000
 23.38260000,  0.88816000
 23.62366000,  0.88602000
 23.86471000,  0.88458000
 24.10577000,  0.88327000
 24.34683000,  0.88146000
 24.58789000,  0.87941000
 24.82894000,  0.87716000
 25.07000000,  0.87473000
 25.31106000,  0.87217000
 25.55212000,  0.86950000
 25.79318000,  0.86674000
 26.03423000,  0.86399000
 26.27529000,  0.86144000
 26.51635000,  0.85894000
 26.75741000,  0.85642000
 26.99846000,  0.85385000
 27.23952000,  0.85111000
 27.48058000,  0.84842000
