# wavenumber (k), Specular Transmittance [-]
 12.77606000,  0.99089000
 13.01712000,  0.98554000
 13.25817000,  0.98326000
 13.49923000,  0.98380000
 13.74029000,  0.98753000
 13.98135000,  0.99270000
 14.22241000,  0.99794000
 14.46346000,  1.00255000
 14.70452000,  1.00526000
 14.94558000,  1.00641000
 15.18664000,  1.00537000
 15.42769000,  1.00386000
 15.66875000,  1.00338000
 15.90981000,  1.00396000
 16.15087000,  1.00684000
 16.39192000,  1.01000000
 16.63298000,  1.01194000
 16.87404000,  1.01234000
 17.11510000,  1.00988000
 17.35616000,  1.00611000
 17.59721000,  1.00181000
 17.83827000,  0.99799000
 18.07933000,  0.99607000
 18.32039000,  0.99561000
 18.56144000,  0.99713000
 18.80250000,  0.99909000
 19.04356000,  0.99999000
 19.28462000,  1.00027000
 19.52568000,  0.99964000
 19.76673000,  0.99876000
 20.00779000,  0.99804000
 20.24885000,  0.99730000
 20.48991000,  0.99587000
 20.73096000,  0.99469000
 20.97202000,  0.99440000
 21.21308000,  0.99520000
 21.45414000,  0.99793000
 21.69519000,  1.00099000
 21.93625000,  1.00283000
 22.17731000,  1.00441000
 22.41837000,  1.00532000
 22.65943000,  1.00551000
 22.90048000,  1.00493000
 23.14154000,  1.00280000
 23.38260000,  1.00089000
 23.62366000,  0.99886000
 23.86471000,  0.99658000
 24.10577000,  0.99452000
 24.34683000,  0.99314000
 24.58789000,  0.99234000
 24.82894000,  0.99234000
 25.07000000,  0.99256000
 25.31106000,  0.99246000
 25.55212000,  0.99209000
 25.79318000,  0.99108000
 26.03423000,  0.99007000
 26.27529000,  0.98962000
 26.51635000,  0.98957000
 26.75741000,  0.99014000
 26.99846000,  0.99079000
 27.23952000,  0.99102000
 27.48058000,  0.99091000
 27.72164000,  0.99020000
 27.96270000,  0.98937000
 28.20375000,  0.98883000
 28.44481000,  0.98854000
 28.68587000,  0.98873000
 28.92693000,  0.98897000
 29.16798000,  0.98887000
 29.40904000,  0.98849000
 29.65010000,  0.98763000
 29.89116000,  0.98668000
 30.13221000,  0.98594000
 30.37327000,  0.98552000
 30.61433000,  0.98572000
 30.85539000,  0.98617000
 31.09645000,  0.98667000
 31.33750000,  0.98707000
 31.57856000,  0.98711000
 31.81962000,  0.98694000
 32.06068000,  0.98659000
 32.30173000,  0.98610000
 32.54279000,  0.98551000
 32.78385000,  0.98490000
 33.02491000,  0.98432000
 33.26597000,  0.98384000
 33.50702000,  0.98359000
 33.74808000,  0.98341000
 33.98914000,  0.98319000
 34.23020000,  0.98288000
 34.47125000,  0.98238000
 34.71231000,  0.98178000
 34.95337000,  0.98114000
 35.19443000,  0.98051000
 35.43548000,  0.98000000
 35.67654000,  0.97955000
 35.91760000,  0.97920000
 36.15866000,  0.97885000
 36.39972000,  0.97838000
 36.64077000,  0.97782000
 36.88183000,  0.97712000
 37.12289000,  0.97644000
 37.36395000,  0.97589000
 37.60500000,  0.97553000
 37.84606000,  0.97552000
 38.08712000,  0.97559000
 38.32818000,  0.97560000
 38.56923000,  0.97540000
 38.81029000,  0.97474000
 39.05135000,  0.97383000
 39.29241000,  0.97277000
 39.53347000,  0.97170000
 39.77452000,  0.97081000
 40.01558000,  0.97006000
 40.25664000,  0.96953000
 40.49770000,  0.96908000
 40.73875000,  0.96865000
 40.97981000,  0.96816000
 41.22087000,  0.96749000
 41.46193000,  0.96671000
 41.70299000,  0.96582000
 41.94404000,  0.96494000
 42.18510000,  0.96418000
 42.42616000,  0.96357000
 42.66722000,  0.96322000
 42.90827000,  0.96297000
 43.14933000,  0.96277000
 43.39039000,  0.96249000
 43.63145000,  0.96198000
 43.87250000,  0.96130000
 44.11356000,  0.96042000
 44.35462000,  0.95945000
 44.59568000,  0.95845000
 44.83674000,  0.95748000
 45.07779000,  0.95663000
 45.31885000,  0.95589000
 45.55991000,  0.95532000
 45.80097000,  0.95484000
 46.04202000,  0.95441000
 46.28308000,  0.95397000
 46.52414000,  0.95343000
 46.76520000,  0.95277000
 47.00625000,  0.95189000
 47.24731000,  0.95088000
 47.48837000,  0.94978000
 47.72943000,  0.94867000
 47.97049000,  0.94769000
 48.21154000,  0.94679000
 48.45260000,  0.94599000
 48.69366000,  0.94526000
 48.93472000,  0.94455000
 49.17577000,  0.94390000
 49.41683000,  0.94331000
 49.65789000,  0.94277000
 49.89895000,  0.94229000
 50.14001000,  0.94181000
 50.38106000,  0.94129000
 50.62212000,  0.94070000
 50.86318000,  0.94003000
 51.10424000,  0.93928000
 51.34529000,  0.93846000
 51.58635000,  0.93756000
 51.82741000,  0.93658000
 52.06847000,  0.93560000
 52.30952000,  0.93470000
 52.55058000,  0.93389000
 52.79164000,  0.93326000
 53.03270000,  0.93265000
 53.27376000,  0.93193000
 53.51481000,  0.93109000
 53.75587000,  0.92998000
 53.99693000,  0.92881000
 54.23799000,  0.92771000
 54.47904000,  0.92682000
 54.72010000,  0.92640000
 54.96116000,  0.92618000
 55.20222000,  0.92607000
 55.44328000,  0.92576000
 55.68433000,  0.92478000
 55.92539000,  0.92347000
 56.16645000,  0.92191000
 56.40751000,  0.92041000
 56.64856000,  0.91940000
 56.88962000,  0.91858000
 57.13068000,  0.91786000
 57.37174000,  0.91706000
 57.61279000,  0.91594000
 57.85385000,  0.91470000
 58.09491000,  0.91345000
 58.33597000,  0.91223000
 58.57703000,  0.91113000
 58.81808000,  0.91012000
 59.05914000,  0.90923000
 59.30020000,  0.90842000
 59.54126000,  0.90772000
 59.78231000,  0.90697000
 60.02337000,  0.90603000
 60.26443000,  0.90494000
 60.50549000,  0.90364000
 60.74654000,  0.90229000
 60.98760000,  0.90101000
 61.22866000,  0.89982000
 61.46972000,  0.89881000
 61.71078000,  0.89788000
 61.95183000,  0.89699000
 62.19289000,  0.89607000
 62.43395000,  0.89499000
 62.67501000,  0.89384000
 62.91606000,  0.89267000
 63.15712000,  0.89153000
 63.39818000,  0.89053000
 63.63924000,  0.88954000
 63.88030000,  0.88844000
 64.12135000,  0.88722000
 64.36241000,  0.88577000
 64.60347000,  0.88427000
 64.84453000,  0.88286000
 65.08558000,  0.88154000
 65.32664000,  0.88040000
 65.56770000,  0.87932000
 65.80876000,  0.87817000
 66.04981000,  0.87697000
 66.29087000,  0.87568000
 66.53193000,  0.87439000
 66.77299000,  0.87321000
 67.01405000,  0.87211000
 67.25510000,  0.87111000
 67.49616000,  0.87011000
 67.73722000,  0.86899000
 67.97828000,  0.86778000
 68.21933000,  0.86644000
 68.46039000,  0.86507000
 68.70145000,  0.86376000
 68.94251000,  0.86249000
 69.18357000,  0.86124000
 69.42462000,  0.85999000
 69.66568000,  0.85868000
 69.90674000,  0.85735000
 70.14780000,  0.85603000
 70.38885000,  0.85470000
 70.62991000,  0.85334000
 70.87097000,  0.85200000
 71.11203000,  0.85069000
 71.35308000,  0.84944000
 71.59414000,  0.84831000
 71.83520000,  0.84721000
 72.07626000,  0.84601000
 72.31732000,  0.84475000
 72.55837000,  0.84340000
 72.79943000,  0.84205000
 73.04049000,  0.84082000
 73.28155000,  0.83964000
 73.52260000,  0.83852000
 73.76366000,  0.83737000
 74.00472000,  0.83610000
 74.24578000,  0.83477000
 74.48683000,  0.83342000
 74.72789000,  0.83207000
 74.96895000,  0.83080000
 75.21001000,  0.82951000
 75.45107000,  0.82808000
